Date,Price,Open,High,Low,Vol.,Change %,Ticker
2012-01-03,8.95,8.79,8.97,8.78,102.24M,,AMZN
2012-01-04,8.88,8.96,9.03,8.8,84.13M,,AMZN
2012-01-05,8.88,8.8,8.91,8.7,76.21M,,AMZN
2012-01-06,9.13,8.9,9.23,8.88,140.20M,,AMZN
2012-01-09,8.93,9.14,9.22,8.85,101.17M,,AMZN
2012-01-10,8.97,9.05,9.12,8.86,79.72M,,AMZN
2012-01-11,8.95,8.98,9.04,8.91,62.06M,,AMZN
2012-01-12,8.8,8.97,8.97,8.79,107.77M,,AMZN
2012-01-13,8.92,8.79,8.94,8.68,95.09M,,AMZN
2012-01-17,9.08,9.01,9.16,8.93,112.90M,,AMZN
2012-01-18,9.47,9.1,9.51,9.06,149.55M,,AMZN
2012-01-19,9.72,9.54,9.8,9.52,142.00M,,AMZN
2012-01-20,9.55,9.54,9.64,9.45,112.21M,,AMZN
2012-01-23,9.3,9.54,9.59,9.26,91.75M,,AMZN
2012-01-24,9.35,9.25,9.42,9.19,93.62M,,AMZN
2012-01-25,9.39,9.35,9.41,9.23,86.16M,,AMZN
2012-01-26,9.67,9.46,9.74,9.44,117.58M,,AMZN
2012-01-27,9.77,9.65,9.82,9.62,93.26M,,AMZN
2012-01-30,9.61,9.68,9.75,9.51,108.60M,,AMZN
2012-01-31,9.72,9.7,9.78,9.48,255.44M,,AMZN
2012-02-01,8.97,8.69,9.0,8.6,426.82M,,AMZN
2012-02-02,9.09,8.98,9.1,8.84,174.78M,,AMZN
2012-02-03,9.38,9.14,9.39,9.09,162.45M,,AMZN
2012-02-06,9.16,9.31,9.33,9.15,106.23M,,AMZN
2012-02-07,9.21,9.13,9.25,9.1,102.09M,,AMZN
2012-02-08,9.27,9.25,9.32,9.15,109.55M,,AMZN
2012-02-09,9.25,9.22,9.28,9.09,143.80M,,AMZN
2012-02-10,9.28,9.17,9.38,9.13,115.97M,,AMZN
2012-02-13,9.58,9.36,9.62,9.28,121.47M,,AMZN
2012-02-14,9.56,9.55,9.68,9.3,190.69M,,AMZN
2012-02-15,9.22,9.56,9.58,9.16,156.04M,,AMZN
2012-02-16,9.0,8.89,9.08,8.76,251.31M,,AMZN
2012-02-17,9.12,9.0,9.17,8.97,148.37M,,AMZN
2012-02-21,9.11,9.13,9.24,9.03,135.18M,,AMZN
2012-02-22,9.03,9.1,9.15,9.01,115.73M,,AMZN
2012-02-23,8.94,8.98,9.04,8.85,103.15M,,AMZN
2012-02-24,8.96,8.98,9.04,8.92,73.38M,,AMZN
2012-02-27,8.93,8.88,8.96,8.82,74.16M,,AMZN
2012-02-28,9.19,8.95,9.21,8.9,115.30M,,AMZN
2012-02-29,8.98,9.19,9.2,8.95,106.05M,,AMZN
2012-03-01,9.0,8.99,9.02,8.83,98.77M,,AMZN
2012-03-02,8.96,8.97,9.09,8.95,73.16M,,AMZN
2012-03-05,9.01,8.95,9.09,8.91,93.69M,,AMZN
2012-03-06,9.05,8.93,9.18,8.9,112.28M,,AMZN
2012-03-07,9.19,9.13,9.28,9.12,99.04M,,AMZN
2012-03-08,9.38,9.21,9.42,9.19,84.47M,,AMZN
2012-03-09,9.22,9.34,9.36,9.17,90.21M,,AMZN
2012-03-12,9.17,9.21,9.27,9.11,51.76M,,AMZN
2012-03-13,9.23,9.2,9.24,9.04,88.09M,,AMZN
2012-03-14,9.11,9.18,9.22,9.06,73.99M,,AMZN
2012-03-15,9.22,9.1,9.22,9.02,83.21M,,AMZN
2012-03-16,9.25,9.16,9.28,9.12,98.70M,,AMZN
2012-03-19,9.28,9.17,9.33,9.15,78.08M,,AMZN
2012-03-20,9.62,9.24,9.72,9.14,183.35M,,AMZN
2012-03-21,9.59,9.62,9.71,9.56,84.31M,,AMZN
2012-03-22,9.62,9.53,9.7,9.51,74.81M,,AMZN
2012-03-23,9.75,9.6,9.81,9.59,119.68M,,AMZN
2012-03-26,10.14,9.82,10.15,9.78,152.41M,,AMZN
2012-03-27,10.27,10.18,10.49,10.14,192.01M,,AMZN
2012-03-28,10.06,10.31,10.35,10.02,124.92M,,AMZN
2012-03-29,10.23,10.06,10.27,10.03,114.23M,,AMZN
2012-03-30,10.13,10.25,10.34,10.09,88.82M,,AMZN
2012-04-02,9.9,9.9,9.99,9.85,128.61M,,AMZN
2012-04-03,9.98,9.91,10.12,9.88,100.02M,,AMZN
2012-04-04,9.7,9.85,9.88,9.62,109.19M,,AMZN
2012-04-05,9.72,9.68,9.8,9.68,64.36M,,AMZN
2012-04-09,9.59,9.6,9.71,9.53,62.74M,,AMZN
2012-04-10,9.35,9.64,9.68,9.33,89.11M,,AMZN
2012-04-11,9.4,9.48,9.6,9.34,86.76M,,AMZN
2012-04-12,9.53,9.4,9.61,9.28,80.58M,,AMZN
2012-04-13,9.42,9.49,9.5,9.31,68.64M,,AMZN
2012-04-16,9.28,9.45,9.47,9.18,80.89M,,AMZN
2012-04-17,9.42,9.36,9.5,9.34,56.59M,,AMZN
2012-04-18,9.55,9.44,9.67,9.44,80.06M,,AMZN
2012-04-19,9.55,9.65,9.73,9.49,80.06M,,AMZN
2012-04-20,9.5,9.62,9.67,9.49,64.87M,,AMZN
2012-04-23,9.41,9.45,9.45,9.28,69.63M,,AMZN
2012-04-24,9.52,9.43,9.54,9.33,67.64M,,AMZN
2012-04-25,9.72,9.58,9.74,9.58,79.17M,,AMZN
2012-04-26,9.8,9.68,9.82,9.65,204.68M,,AMZN
2012-04-27,11.34,11.24,11.43,11.01,442.25M,,AMZN
